Date,NVDA
2024-08-01,109.20999908447266
2024-08-02,107.2699966430664
2024-08-05,100.44999694824219
2024-08-06,104.25
2024-08-07,98.91000366210938
2024-08-08,104.97000122070312
2024-08-09,104.75
2024-08-12,109.0199966430664
2024-08-13,116.13999938964844
2024-08-14,118.08000183105469
2024-08-15,122.86000061035156
2024-08-16,124.58000183105469
2024-08-19,130.0
2024-08-20,127.25
2024-08-21,128.5
2024-08-22,123.73999786376953
2024-08-23,129.3699951171875
2024-08-26,126.45999908447266
2024-08-27,128.3000030517578
2024-08-28,125.61000061035156
2024-08-29,117.58999633789062
2024-08-30,119.37000274658203
2024-09-03,108.0
2024-09-04,106.20999908447266
2024-09-05,107.20999908447266
2024-09-06,102.83000183105469
2024-09-09,106.47000122070312
2024-09-10,108.0999984741211
2024-09-11,116.91000366210938
2024-09-12,119.13999938964844
2024-09-13,119.0999984741211
2024-09-16,116.77999877929688
2024-09-17,115.58999633789062
2024-09-18,113.37000274658203
2024-09-19,117.87000274658203
2024-09-20,116.0
2024-09-23,116.26000213623047
2024-09-24,120.87000274658203
2024-09-25,123.51000213623047
2024-09-26,124.04000091552734
2024-09-27,121.4000015258789
2024-09-30,121.44000244140625
2024-10-01,117.0
2024-10-02,118.8499984741211
2024-10-03,122.8499984741211
2024-10-04,124.91999816894531
2024-10-07,127.72000122070312
2024-10-08,132.88999938964844
2024-10-09,132.64999389648438
2024-10-10,134.80999755859375
2024-10-11,134.8000030517578
2024-10-14,138.07000732421875
2024-10-15,131.60000610351562
2024-10-16,135.72000122070312
2024-10-17,136.92999267578125
2024-10-18,138.0
2024-10-21,143.7100067138672
2024-10-22,143.58999633789062
2024-10-23,139.55999755859375
2024-10-24,140.41000366210938
2024-10-25,141.5399932861328
2024-10-28,140.52000427246094
2024-10-29,141.25
2024-10-30,139.33999633789062
2024-10-31,132.75999450683594
2024-11-01,135.39999389648438
2024-11-04,136.0500030517578
2024-11-05,139.91000366210938
2024-11-06,145.61000061035156
2024-11-07,148.8800048828125
2024-11-08,147.6300048828125
2024-11-11,145.25999450683594
2024-11-12,148.2899932861328
2024-11-13,146.27000427246094
2024-11-14,146.75999450683594
2024-11-15,141.97999572753906
2024-11-18,140.14999389648438
2024-11-19,147.00999450683594
2024-11-20,145.88999938964844
2024-11-21,146.6699981689453
2024-11-22,141.9499969482422
2024-11-25,136.02000427246094
2024-11-26,136.9199981689453
2024-11-27,135.33999633789062
2024-11-29,138.25
2024-12-02,138.6300048828125
2024-12-03,140.25999450683594
2024-12-04,145.13999938964844
2024-12-05,145.05999755859375
2024-12-06,142.44000244140625
2024-12-09,138.80999755859375
2024-12-10,135.07000732421875
2024-12-11,139.30999755859375
2024-12-12,137.33999633789062
2024-12-13,134.25
2024-12-16,132.0
2024-12-17,130.38999938964844
2024-12-18,128.91000366210938
2024-12-19,130.67999267578125
2024-12-20,134.6999969482422
2024-12-23,139.6699981689453
2024-12-24,140.22000122070312
2024-12-26,139.92999267578125
2024-12-27,137.00999450683594
2024-12-30,137.49000549316406
